#,Date Time,precipitation Counts (#),Temp (°C) c:2,RH (%) c:3,Wind Speed (m/s) c:5,Gust Speed (m/s) c:6,Wind Direction (ø) c:7,Pressure (mbar) c:8,Water Content (m³/m³) c:9,Batt (V)
212,05/04/12 20:01:37,0.00,31.382,42.200,0.56,2.60,150.2,973.250,0.2112,4.351
213,05/04/12 20:16:37,0.00,30.950,42.900,0.19,2.78,140.4,973.450,0.2112,4.345
214,05/04/12 20:31:37,0.00,30.672,43.800,0.37,3.15,148.8,973.550,0.2109,4.339
215,05/04/12 20:46:37,0.00,30.217,46.800,0.56,2.97,146.0,973.750,0.2112,4.339
216,05/04/12 21:01:37,0.00,29.966,52.500,2.41,6.68,151.6,973.450,0.2109,4.339
217,05/04/12 21:16:37,0.00,29.389,58.700,3.90,10.02,164.3,973.650,0.2109,4.339
218,05/04/12 21:31:37,0.00,28.891,62.800,4.82,8.35,164.3,974.050,0.2104,4.339
219,05/04/12 21:46:37,0.00,28.345,65.600,5.20,9.46,162.9,974.350,0.2104,4.339
220,05/04/12 22:01:37,0.00,27.924,68.000,4.27,7.42,160.0,974.850,0.2104,4.339
221,05/04/12 22:16:37,0.00,27.554,69.800,3.71,7.05,158.6,975.450,0.2104,4.339
222,05/04/12 22:31:37,0.00,26.940,71.900,2.97,5.38,171.3,975.750,0.2104,4.339
223,05/04/12 22:46:37,0.00,26.646,71.200,2.97,6.68,161.5,976.050,0.2104,4.339
224,05/04/12 23:01:37,0.00,25.939,73.400,2.78,4.45,154.4,976.250,0.2104,4.339
225,05/04/12 23:16:37,0.00,25.428,74.800,3.15,5.57,153.0,976.250,0.2104,4.339
226,05/04/12 23:31:37,0.00,25.040,75.800,2.04,5.20,141.8,976.250,0.2104,4.333
227,05/04/12 23:46:37,0.00,24.726,76.600,2.60,5.94,146.0,976.050,0.2104,4.357
228,05/05/12 00:01:37,0.00,24.339,80.600,2.78,6.86,154.4,976.450,0.2104,4.333
229,05/05/12 00:16:37,0.00,23.954,82.200,2.60,5.20,154.4,976.350,0.2104,4.333
230,05/05/12 00:31:37,0.00,23.641,82.800,2.60,6.31,148.8,976.950,0.2100,4.333
231,05/05/12 00:46:37,0.00,23.448,82.600,2.41,5.57,150.2,977.150,0.2100,4.333
232,05/05/12 01:01:37,0.00,23.256,83.800,2.04,4.27,148.8,976.950,0.2100,4.333
233,05/05/12 01:16:37,0.00,23.136,84.900,2.41,5.01,155.8,977.050,0.2100,4.333
234,05/05/12 01:31:37,0.00,22.992,86.200,3.15,6.31,157.2,977.050,0.2100,4.333
235,05/05/12 01:46:37,0.00,23.016,86.200,2.23,5.75,150.2,977.250,0.2100,4.333
236,05/05/12 02:01:37,0.00,23.040,85.900,2.04,4.45,140.4,977.450,0.2100,4.333
237,05/05/12 02:16:37,0.00,23.016,85.400,1.48,4.45,140.4,976.950,0.2095,4.327
238,05/05/12 02:31:37,0.00,22.872,85.900,2.04,4.45,132.0,976.750,0.2095,4.327
239,05/05/12 02:46:37,0.00,22.800,86.200,1.48,4.27,132.0,976.350,0.2095,4.321
240,05/05/12 03:01:37,0.00,22.753,87.200,1.11,5.57,134.8,976.150,0.2095,4.321
241,05/05/12 03:16:37,0.00,22.729,87.700,1.30,3.34,132.0,976.250,0.2095,4.321
242,05/05/12 03:31:37,0.00,22.729,88.400,2.04,4.45,143.2,976.150,0.2095,4.321
243,05/05/12 03:46:37,0.00,22.896,87.700,2.23,4.27,147.4,976.050,0.2095,4.321
244,05/05/12 04:01:37,0.00,22.920,87.500,2.41,4.27,147.4,975.850,0.2095,4.321
245,05/05/12 04:16:37,0.00,22.920,87.900,2.78,5.75,155.8,975.850,0.2095,4.321
246,05/05/12 04:31:37,0.00,22.944,87.800,3.15,5.38,158.6,975.650,0.2092,4.321
247,05/05/12 04:46:37,0.00,22.992,87.900,2.97,5.57,157.2,975.850,0.2092,4.321
248,05/05/12 05:01:37,0.00,22.992,87.800,3.15,5.20,155.8,975.750,0.2092,4.321
249,05/05/12 05:16:37,0.00,22.800,88.700,2.60,5.57,158.6,975.650,0.2092,4.321
250,05/05/12 05:31:37,0.00,22.729,89.400,2.78,5.38,158.6,975.550,0.2092,4.321
251,05/05/12 05:46:37,0.00,22.776,89.800,2.41,4.82,157.2,975.550,0.2092,4.321
252,05/05/12 06:01:37,0.00,22.753,90.100,2.41,4.27,168.5,975.550,0.2092,4.321
253,05/05/12 06:16:37,0.00,22.800,90.200,2.60,4.45,168.5,975.350,0.2092,4.321
254,05/05/12 06:31:37,0.00,22.705,90.600,2.23,3.90,175.5,975.550,0.2092,4.321
255,05/05/12 06:46:37,0.00,22.753,90.600,2.23,3.53,175.5,975.650,0.2092,4.321
256,05/05/12 07:01:37,0.00,22.729,90.800,2.04,3.34,181.1,975.650,0.2092,4.321
257,05/05/12 07:16:37,0.00,22.705,91.000,1.67,2.97,168.5,975.750,0.2092,4.345
258,05/05/12 07:31:37,0.00,22.824,90.800,1.67,3.53,158.6,975.650,0.2087,4.393
259,05/05/12 07:46:37,0.00,22.968,90.500,2.04,4.08,168.5,975.850,0.2087,4.375
260,05/05/12 08:01:37,0.00,23.040,89.400,2.60,5.38,179.7,975.850,0.2083,4.418
261,05/05/12 08:16:37,0.00,23.304,89.200,2.78,5.01,182.5,975.850,0.2087,4.381
262,05/05/12 08:31:37,0.00,23.809,85.800,2.60,4.45,176.9,975.650,0.2083,4.430
263,05/05/12 08:46:37,0.00,24.122,84.200,2.41,5.38,182.5,975.650,0.2083,4.381
